Bat,Murciélago
Bear,Oso
Beaver,Castor
Buffalo,Búfalo
Bull,Toro
Camel,Camello
Cat,Gato
Chimpanzee,Chimpancé
Cougar,Puma
Cow,Vaca
Deer,Venado
Dog,Perro
Dolphin,Delfín
Elephant,Elefante
Fox,Zorro
Giraffe,Jirafa
Goat,Cabra
Gorilla,Gorila
Hippopotamus,Hipopótamo
Horse,Caballo
Kangaroo,Canguro
Leopard,Leopardo
Lion,León
Monkey,Mono
Mouse,Ratón
Panda,Panda
Pig,Cerdo
Porpoise,Marsopa
Rabbit,Conejo
Rat,Rata
Rhinoceros,Rinoceronte
Seal,Foca
Sheep,Oveja
Squirrel,Ardilla
Tiger,Tigre
Whale,Ballena
Wolf,Lobo
Zebra,Cebra
Anchovies,Anchoas
Bass,Mero
Clam,Almeja
Cod,Bacalao
Crab,Cangrejo
Crayfish,Langostino
Crustacean,Crustáceos
Eel,Anguila
Herring,Arenque
Lobster,Langosta
Mackerel,Caballa
Mollusc,Molusco
Monkfish,Rape
Octopus,Pulpo
Oyster,Ostra
Perch,Perca
Red snapper,Huachinango
Salmon,Salmón
Sardine,Sardina
Shark,Tiburón
Shrimp,Camarone
Sole,Lenguado
Squid,Calamar
Trout,Trucha
Tuna,Atún
Ant,Hormiga
Bedbugs,Chinche
Bee,Abeja
Beetle,Escarabajo
Butterfly,Mariposa
Centipede,Ciempiés
Cockroach,Cucaracha
Cricket,Grillo
Dragonfly,Libélula
Grasshopper,Saltamontes
Fly,Mosca
Ladybird,Mariquita
Lice / Louse,Piojo
Millipede,Milpiés
Moth,Polilla
Scorpion,Escorpión
Spider,Araña
Termite,Termita
Wasp,Avispa
Ant,Hormiga
Bedbugs,Chinche
Bee,Abeja
Beetle,Escarabajo
Butterfly,Mariposa
Centipede,Ciempiés
Cockroach,Cucaracha
Cricket,Grillo
Dragonfly,Libélula
Grasshopper,Saltamontes
Fly,Mosca
Ladybird,Mariquita
Lice / Louse,Piojo
Millipede,Milpiés
Moth,Polilla
Scorpion,Escorpión
Spider,Araña
Termite,Termita
Wasp,Avispa
Alligator,Caimán
Crocodile,Cocodrilo
Lizard,Lagarto
Lizard – small,Lagartija
Snake,Serpiente
Tortoise,Tortuga de tierra
Turtle,Tortuga de mar
Frog,Rana
Salamander,Salamandra
Toad,Sapo
Canary,Canario
Crow,Cuervo
Dove,Paloma
Duck,Pato
Eagle,Águila
Flamingo,Flamenco
Goose,Ganso
Hawk,Halcón
Hummingbird,Colibrí
Magpie,Urraca
Ostrich,Avestruz
Owl,Búho
Parrot,Papagayo
Peacock,Pavo real
Penguin,Pingüino
Pigeon,Paloma
Robin,Petirrojo
Seagull,Gaviota
Stork,Cigüeña
Swan,Cisne
Toucan,Tucán
Turkey,Pavo
Vulture,Buitre
Woodpecker,Pájaro carpintero
